date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-06-07,Solway,MN,"Coffee Pot Landing, La Salle Lake State Recreation Area",Treaty People Gathering,"1,500; over 1,500; thousands; 2,000+; about 2,000",1500,2000,RISE Coalition; MN350; Giniw Collective; Camp Migizi; Indigenous Environmental Network; Honor the Earth; Oil Change International; Northfield Against Line 3; TakeAction Minnesota; Rising Tide North America,faith leaders; water protectors,"against Line 3 oil pipeline, for indigenous peoples' rights and lifeways, for environmental justice, against cultural genocide, life over oil",1,rally,,,,,,,,,,,,https://unicornriot.ninja/2021/indigenous-led-blockades-occupy-line-3-pipeline-sites/,https://abcnews.go.com/Business/wireStory/pipeline-foes-gear-large-northern-minnesota-protest-78118298,https://twitter.com/ndncollective/status/1401886415412027394,https://twitter.com/UR_Ninja/status/1401900106257891328,https://twitter.com/IENearth/status/1401917439760293888,https://twitter.com/FordFischer/status/1401945788339662848,https://twitter.com/HonorTheEarth/status/1401955117960679425,https://apnews.com/article/mn-state-wire-minnesota-government-and-politics-arts-and-entertainment-environment-and-nature-38ba4df28f86672847e9006ef5b03c75,https://twitter.com/billmckibben/status/1401966518972391424,https://twitter.com/FordFischer/status/1402120668888588289,https://twitter.com/RISEandEngage/status/1402115656233988103,https://twitter.com/FordFischer/status/1402099696886337536,https://www.washingtonpost.com/climate-environment/2021/06/07/pipeline-protest-line-3-minnesota/?utm_campaign=wp_main&utm_medium=social&utm_source=twitter,https://www.santacruzsentinel.com/2021/06/13/democracy-now-water-protectors-rally-against-line-3-enbridge-pipeline/,https://twitter.com/FordFischer/status/1402300646997495808,https://twitter.com/GiniwCollective/status/1402364380994494470,https://www.mprnews.org/story/2021/06/08/line-3-opponents-occupy-enbridge-pump-station-as-protest-ramps-up,https://twitter.com/FordFischer/status/1402418971547258886,https://www.bemidjipioneer.com/news/7067233-179-arrested-Monday-at-large-scale-Line-3-protest,https://www.clickondetroit.com/business/2021/06/09/police-say-nearly-250-arrested-in-minnesota-pipeline-protest/,https://truthout.org/articles/line-3-water-protectors-launch-occupation-at-mississippi-river-pipeline-easement/,,,,,,,,,
2021-06-07,Syracuse,NY,441 South Salina St,,20+,20,20,Poor People's Campaign,,"against systemic racism, against poverty, for moral and just laws and policies",1,rally,,,,,,,,,,,,https://www.facebook.com/events/914769822648553/,https://twitter.com/nysppc/status/1401998703196581894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Tallahassee,FL,online,,,,,Poor People's Campaign,,"against systemic racism, against poverty, for moral and just laws and policies",1,rally,,,,,,,,,,,,https://actionnetwork.org/events/florida-virtual-rally-and-press-conference-for-a-third-reconstruction/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Tulsa,OK,Tulsa Public Schools Education Service Center,,about 30,30,30,,parents,"for voting against bond issue to raise funds for Tulsa Public Schools, for fiscal responsibility",0,protest,,,,,,,,,,,,https://www.newson6.com/story/60bed531f574ef0c0e81b166/414-million-tulsa-public-schools-bond-proposal-sparks-protest-from-some-parents-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Venice,CA,Venice Boardwalk,,count video,30,40,,elected officials,"against failures of Los Angeles Homeless Services Authority, for banning homeless encampments in parks and sidewalks",0,rally; press conference,,,,,,,,,20210607-venice-homeless,,,https://twitter.com/KtownforAll/status/1401906304789012481,https://twitter.com/boreskes/status/1401906129244876803,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Venice,CA,Venice Boardwalk,,count pic,15,20,Street Watch LA,,"against sweeps of homeless encampments, in support of unhoused people, services not sweeps",0,counter-protest,,,,,,,,,20210607-venice-homeless,,,https://twitter.com/KtownforAll/status/1401906304789012481,https://twitter.com/StreetWatchLA/status/1401688106839855107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Washington,DC,Ronald Reagan Building & International Trade Center,,count pic,7,7,Poor People's Campaign,,"against systemic racism, against poverty, for moral and just laws and policies, for D.C. statehood",1,rally,,,,,,,,,,,,https://twitter.com/elliott_smith22/status/1401960751238164480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Wooster,OH,Wooster Square,,,,,Wayne County Racial Justice Coalition,,against racism,1,demonstration,,,,,,,,,,,,online submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,Worcester,MA,St. Vincent Hospital,,,,,Massachusetts Nurses Association,nurses,for fair contract and safe staffing levels for nurses at St. Vincent Hospital,0,strike; picket,,,,,,,,,,,,https://www.telegram.com/story/news/2021/07/21/st-vincent-hospital-nurses-strike-marlena-pellegrino-tenet-healthcare/8043601002/,https://www.masslive.com/worcester/2021/07/supporters-march-through-worcester-in-solidarity-with-striking-saint-vincent-hospital-nurses-well-be-here-as-long-as-it-takes.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Albany,NY,New York State Capitol,,count video,8,10,,,"for New York for All Act, for state legislation barring state and local police officers from working with ICE",1,rally,,,,,,,,,,,,https://www.news10.com/news/ny-capitol-news/advocates-rally-for-end-of-session-priorities/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
